name,1.5version,1.4version,URL,license,Delta Information,repo_name,PCF1.5_github_url,PCF1.4_url
rspec-core,2.14.7,2.14.7,https://github.com/rspec/rspec-core,MIT,No change,broker-registrar,,
rspec-mocks,2.14.0,2.14.0,https://github.com/rspec/rspec-mocks,MIT,No change,broker-registrar,,
thread_safe,0.1.0,0.2.0,https://rubygems.org/gems/thread_safe/versions/0.1.0,Apache,Version Changed,broker-registrar,https://github.com/ruby-concurrency/thread_safe/blob/master/LICENSE,,,,
rspec-mocks,2.14.4,2.14.4,https://github.com/rspec/rspec-mocks,MIT,No change,broker-registrar,,
safe_yaml,1.0.1,1.0.1,https://github.com/dtao/safe_yaml,MIT,No change,broker-registrar,,
webmock,1.17.2,1.17.2,https://github.com/bblimke/webmock,MIT,No change,broker-registrar,,
vcr,2.8.0,2.8.0,https://github.com/vcr/vcr,MIT,No change,broker-registrar,,
rubyzip,1.1.7,0.9,https://rubygems.org/gems/rubyzip,BSD 2-Clause,Version Changed,broker-registrar,,,,,
multi_json,1.3.0,1.8.4,https://rubygems.org/gems/multi_json/versions/1.3.0,MIT,Version Changed,broker-registrar,https://github.com/intridea/multi_json/blob/master/LICENSE.md,,,,
thread_safe,0.2.0,0.2.0,https://github.com/headius/thread_safe,APACHE-2.0,No change,broker-registrar,,
tzinfo,0.3.37,0.3.37,https://github.com/tzinfo/tzinfo,MIT,No change,broker-registrar,,
diff-lcs,1.1.3,1.1.3,https://github.com/halostatue/diff-lcs,MIT,No change,broker-registrar,,
minitest,4.7.5,4.7.5,https://github.com/seattlerb/minitest,MIT,No change,broker-registrar,,
multipart-post,1.1.0,1.2.0,https://rubygems.org/gems/multipart-post/versions/1.1.0,N/A,Version Changed,broker-registrar,https://github.com/nicksieger/multipart-post,https://github.com/nicksieger/multipart-post,MIT,,
rubyzip,0.9.9,0.9.9,https://github.com/rubyzip/rubyzip,Ruby License,No change,broker-registrar,,
atomic,1.1.7,1.1.7,https://github.com/headius/ruby-atomic,APACHE-2.0,No change,broker-registrar,,
httparty,0.12.0,0.12.0,https://github.com/jnunemaker/httparty,MIT,No change,broker-registrar,,
minitest,4.2.0,4.7.5,https://rubygems.org/gems/minitest/versions/4.2.0,N/A,Version Changed,broker-registrar,https://github.com/seattlerb/minitest,https://github.com/seattlerb/minitest,MIT,,
builder,3.1.4,3.1.4,https://github.com/jimweirich/builder,MIT,No change,broker-registrar,,
builder,3.1.0,3.1.0,https://github.com/jimweirich/builder,MIT,No change,broker-registrar,,
activemodel,3.2.13,3.2.13,https://rubygems.org/gems/activemodel,MIT,No change,broker-registrar,,
