name,1.5version,1.4version,URL,license,Delta Information,repo_name,PCF1.5_github_url,PCF1.4_url
ice_nine,0.11.1,None,https://rubygems.org/gems/ice_nine/versions/0.11.1,MIT,New in 1.5,dea_ng,,
json,1.8.1,1.8.1,https://github.com/flori/json,Ruby License,No change,dea_ng,,
descendants_tracker,0.0.1,0.0.1,https://github.com/dkubb/descendants_tracker,MIT,No change,dea_ng,,
json_pure,1.8.1,1.8.1,https://github.com/flori/json,Ruby License,No change,dea_ng,,
addressable,2.2.0,2.3.5,https://rubygems.org/gems/addressable/versions/2.2.0,Apache,Version Changed,dea_ng,https://github.com/sporkmonger/addressable/blob/master/LICENSE.txt,,,,
webmock,1.15.2,1.15.2,https://github.com/bblimke/webmock,MIT,No change,dea_ng,,
daemons,1.1.9,1.1.9,https://github.com/ghazel/daemons,MIT,No change,dea_ng,,
loggregator_emitter,3.0.0,3.0.0,https://github.com/cloudfoundry/loggregator_emitter,APACHE-2.0,No change,dea_ng,,
beefcake,0.3.7,0.3.7,https://github.com/protobuf-ruby/beefcake,MIT,No change,dea_ng,,
rack,1.0.0,1.0.0,https://github.com/rack/rack,MIT,No change,dea_ng,,
thread_safe,0.1.0,None,https://rubygems.org/gems/thread_safe/versions/0.1.0,Apache,New in 1.5,dea_ng,https://github.com/ruby-concurrency/thread_safe/blob/master/LICENSE,
eventmachine,1.0.0.beta.4,1.0.0.beta.4,https://github.com/eventmachine/eventmachine,Ruby License,No change,dea_ng,,
eventmachine,1.0.0.beta.4,1.0.0.beta.4,https://github.com/eventmachine/eventmachine,Ruby License,No change,dea_ng,,
addressable,2.2.3,2.2.3,https://github.com/sporkmonger/addressable,APACHE 2.0,No change,dea_ng,,
mini_portile,0.6.0,0.6.0,https://github.com/flavorjones/mini_portile,MIT,No change,dea_ng,,
minitest,5.5.1,None,https://rubygems.org/gems/minitest/versions/5.5.1,MIT,New in 1.5,dea_ng,,
