name,1.5version,1.4version,URL,license,Delta Information,repo_name,PCF1.5_github_url,PCF1.4_url
bundler,1.3.0,1.3.0,https://github.com/bundler/bundler,MIT,No change,cf-mysql-broker,,
railties,4.0.13,3.2.11,https://rubygems.org/gems/railties/versions/4.0.13,MIT,Version Changed,cf-mysql-broker,,,,,
rails-api,0.4.0,0.1.0,https://rubygems.org/gems/rails-api/versions/0.4.0,MIT,Version Changed,cf-mysql-broker,,,,,
railties,4.0.13,3.2.11,https://rubygems.org/gems/railties/versions/4.0.13,MIT,Version Changed,cf-mysql-broker,,,,,
actionpack,4.0.13,4.0.0,https://rubygems.org/gems/actionpack/versions/4.0.13,MIT,Version Changed,cf-mysql-broker,,,,,
activesupport,4.0.13,4.0.0,https://rubygems.org/gems/activesupport/versions/4.0.13,MIT,Version Changed,cf-mysql-broker,,,,,
thor,0.18.1,0.18.1,https://github.com/erikhuda/thor,MIT,No change,cf-mysql-broker,,
eventmachine,0.12.10,1.0.0,https://rubygems.org/gems/eventmachine/versions/0.12.10,RUBY,Version Changed,cf-mysql-broker,https://github.com/eventmachine/eventmachine/blob/master/LICENSE,,,,
test-unit,3.1.2,None,https://rubygems.org/gems/test-unit/versions/3.1.2,Ruby,New in 1.5,cf-mysql-broker,,
power_assert,0.2.4,None,https://rubygems.org/gems/power_assert,2-clause BSDL,New in 1.5,cf-mysql-broker,,
raindrops,0.13.0,0.12.0,https://rubygems.org/gems/raindrops/versions/0.13.0,LGPLv2.1+,Version Changed,cf-mysql-broker,,,,,
hashie,1.2.0,1.2,https://rubygems.org/gems/hashie/versions/1.2.0,MIT,Version Changed,cf-mysql-broker,https://github.com/intridea/hashie/blob/master/LICENSE,,,mark,
rake,10.4.2,0.8.7,https://rubygems.org/gems/rake/versions/10.4.2,MIT,Version Changed,cf-mysql-broker,,,,,
rspec-core,2.14.8,2.14.0,https://rubygems.org/gems/rspec-core/versions/2.14.8,MIT,Version Changed,cf-mysql-broker,,,,,
rack,1.0.0,1.0.0,https://github.com/rack/rack,MIT,No change,cf-mysql-broker,,
rspec-expectations,2.14.5,2.14.0,https://rubygems.org/gems/rspec-expectations/versions/2.14.5,MIT,Version Changed,cf-mysql-broker,,,,,
rspec-mocks,2.14.6,2.14.3,https://rubygems.org/gems/rspec-mocks/versions/2.14.6,MIT,Version Changed,cf-mysql-broker,,,,,
thread_safe,0.1.0,0.1,https://rubygems.org/gems/thread_safe/versions/0.1.0,Apache,Version Changed,cf-mysql-broker,https://github.com/ruby-concurrency/thread_safe/blob/master/LICENSE,,,mark,
rspec-rails,2.14.2,2.14.0,https://rubygems.org/gems/rspec-rails/versions/2.14.2,MIT,Version Changed,cf-mysql-broker,,,,,
rack,1.0.0,1.0.0,https://github.com/rack/rack,MIT,No change,cf-mysql-broker,,
tilt,2.0.1,1.4.1,https://rubygems.org/gems/tilt,MIT,Version Changed,cf-mysql-broker,,,,,
rspec-core,2.14.0,2.14.0,https://github.com/rspec/rspec-core,MIT,No change,cf-mysql-broker,,
